2026-07-24T09:03:34.490168017Z [inf]  
2026-07-24T09:03:34.490173549Z [inf]  > umakraft@1.0.0 start
2026-07-24T09:03:35.573464373Z [inf]  [startup] Loaded command: test_milestone (testMilestone.js)
2026-07-24T09:03:35.573465970Z [inf]  [startup] Registered event: guildMemberAdd (guildMemberAdd.js)
2026-07-24T09:03:35.573476453Z [inf]  [startup] Loaded command: timeline_post (timelinePost.js)
2026-07-24T09:03:35.573478106Z [inf]  [startup] Loaded command: link_list (linkList.js)
2026-07-24T09:03:35.573481417Z [inf]  [startup] Loaded command: set_fans (setFans.js)
2026-07-24T09:03:35.573482590Z [inf]  [startup] Registered event: guildMemberRemove (guildMemberRemove.js)
2026-07-24T09:03:35.573489189Z [inf]  [startup] Loaded command: timeline_setup (timelineSetup.js)
2026-07-24T09:03:35.573497573Z [inf]  [startup] Loaded command: set_timezone (setTimezone.js)
2026-07-24T09:03:35.573505712Z [inf]  [startup] Loaded command: status (status.js)
2026-07-24T09:03:35.579028949Z [inf]  [tasks] registered "operation" (*/5 * * * *)
2026-07-24T09:03:35.579041036Z [inf]  [tasks] registered daily "miner-1800" at 18:00 Europe/Amsterdam
2026-07-24T09:03:35.579048632Z [inf]  [tasks] registered daily "miner-1830" at 18:30 Europe/Amsterdam
2026-07-24T09:03:35.579056195Z [inf]  [tasks] starting "operation" — interval=300000ms
2026-07-24T09:03:35.579063623Z [inf]  [tasks] tick — task="operation"
2026-07-24T09:03:35.579071502Z [inf]  [Operation] Evaluation cycle started.
2026-07-24T09:03:35.579079365Z [inf]  [tasks] "miner-1800" next run in 416min (at 18:00 Europe/Amsterdam)
2026-07-24T09:03:35.579085490Z [inf]  [tasks] "miner-1830" next run in 446min (at 18:30 Europe/Amsterdam)
2026-07-24T09:03:35.579091432Z [dbg]  [Operation/Logger] pipeline=core stage=operation status=unknown failures=0 duration=0ms
2026-07-24T09:03:35.579143408Z [inf]  [startup] Verified exactly 1 interactionCreate listener
2026-07-24T09:03:35.579149086Z [inf]  [startup] Logging in to Discord...
2026-07-24T09:03:35.579156799Z [inf]  [startup] Login call completed — waiting for ready event
2026-07-24T09:03:35.579162148Z [inf]  [ready] Logged in as UmaKraftCircleBot#8905 (1526549146788429894)
2026-07-24T09:03:35.579169640Z [inf]  [ready] Serving 1 guild(s)
2026-07-24T09:03:35.579178336Z [inf]  [ready] AI initialization is deferred until the first AI command.
2026-07-24T09:03:35.581462926Z [dbg]  [Operation/Logger] pipeline=core stage=miner-1800 status=unknown failures=0 duration=n/ams
2026-07-24T09:03:35.581470035Z [dbg]  [Operation/Logger] pipeline=core stage=miner-1830 status=unknown failures=0 duration=n/ams
2026-07-24T09:03:35.581477133Z [inf]  [Operation/Logger] pipeline=runtime stage=runtime status=ok failures=0 duration=n/ams
2026-07-24T09:03:35.581490407Z [inf]  [Operation/Manager] decision=Healthy — All systems nominal
2026-07-24T09:03:35.581500611Z [inf]  [Operation] Cycle complete. decision=Healthy subjects=[none]
